product_category_name_english,gmv
health_beauty,1441248.07
watches_gifts,1305541.61
bed_bath_table,1241681.72
sports_leisure,1156656.48
computers_accessories,1059272.4
furniture_decor,902511.79
housewares,778397.77
cool_stuff,719329.95
auto,685384.32
garden_tools,584219.21
toys,561372.55
baby,480118.0
perfumery,453338.71
telephony,394883.32
office_furniture,342532.65
stationery,277741.71
pet_shop,253876.65
computers,232799.43
musical_instruments,210137.37
electronics,206825.06
small_appliances,206668.83
fashion_bags_accessories,184273.54
consoles_games,177293.24
luggage_accessories,170875.21
construction_tools_construction,165328.0
home_appliances_2,123917.92
home_construction,96920.36
home_appliances,94990.43
furniture_living_room,86884.73
agro_industry_and_commerce,78374.07
home_confort,67073.27
fixed_telephony,64220.81
air_conditioning,61774.19
kitchen_dining_laundry_garden_furniture,58327.8
audio,56398.94
books_general_interest,56052.4
small_appliances_home_oven_and_coffee,50193.57
construction_tools_lights,48663.8
industry_commerce_and_business,47554.29
construction_tools_safety,44463.62
food,36664.44
market_place,33834.53
costruction_tools_garden,31027.29
fashion_shoes,28481.64
art,28247.81
drinks,28169.95
signaling_and_security,28017.05
furniture_bedroom,24661.01
books_technical,23379.12
food_drink,19687.47
costruction_tools_tools,17934.170000000002
fashion_male_clothing,12950.23
christmas_supplies,12030.12
fashion_underwear_beach,11457.74
tablets_printing_image,8754.61
cine_photo,8189.66
dvds_blu_ray,7288.13
music,6724.860000000001
furniture_mattress_and_upholstery,5998.54
books_imported,5409.7
party_supplies,5313.150000000001
fashio_female_clothing,3425.39
fashion_sport,2697.64
la_cuisine,2388.54
arts_and_craftmanship,2184.14
diapers_and_hygiene,2141.27
flowers,1598.91
home_comfort_2,1170.58
cds_dvds_musicals,954.99
fashion_childrens_clothes,665.36
security_and_services,324.51
