customer_state,total_orders,late_orders,pct_late
AC,80,3,0.0375
AL,397,95,0.23929471032745592
AM,145,6,0.041379310344827586
AP,67,3,0.04477611940298507
BA,3256,457,0.14035626535626536
CE,1279,196,0.1532447224394058
DF,2080,147,0.07067307692307692
ES,1995,244,0.12230576441102757
GO,1957,160,0.08175779253960143
MA,717,141,0.19665271966527198
MG,11355,638,0.056186701893439016
MS,701,81,0.11554921540656206
MT,886,60,0.06772009029345373
PA,946,117,0.12367864693446089
PB,517,57,0.1102514506769826
PE,1593,172,0.10797237915881984
PI,476,76,0.15966386554621848
PR,4923,246,0.049969530773918344
RJ,12353,1664,0.13470412045656927
RN,474,51,0.10759493670886076
RO,243,7,0.02880658436213992
RR,41,5,0.12195121951219512
RS,5344,382,0.07148203592814371
SC,3547,346,0.09754722300535663
SE,335,51,0.15223880597014924
SP,40495,2387,0.05894554883318928
TO,274,35,0.12773722627737227
